Year,County,PQI,PQIDescription,Count_ICD9,Population_ICD9,ObsRate_ICD9,RiskAdjRate_ICD9,Count_ICD10,Population_ICD10,ObsRate_ICD10
2005,Yuba,5,COPD or Asthma in Older Adults (Age 40+),177,25763,687,744.9,,,
2006,Yuba,5,COPD or Asthma in Older Adults (Age 40+),186,26617,698.8,762.4,,,
2007,Yuba,5,COPD or Asthma in Older Adults (Age 40+),177,27293,648.5,707.4,,,
2008,Yuba,5,COPD or Asthma in Older Adults (Age 40+),222,27963,793.9,864,,,
2009,Yuba,5,COPD or Asthma in Older Adults (Age 40+),247,28314,872.4,942,,,
2010,Yuba,5,COPD or Asthma in Older Adults (Age 40+),276,28968,952.8,1022.9,,,
2011,Yuba,5,COPD or Asthma in Older Adults (Age 40+),243,29164,833.2,884,,,
2012,Yuba,5,COPD or Asthma in Older Adults (Age 40+),242,29241,827.6,863.4,,,
2013,Yuba,5,COPD or Asthma in Older Adults (Age 40+),200,29319,682.2,703,,,
2014,Yuba,5,COPD or Asthma in Older Adults (Age 40+),160,30787,519.7,551.1,,,
2015,Yuba,5,COPD or Asthma in Older Adults (Age 40+),124,22289,556.3,557.2,,,
2016,Yuba,5,COPD or Asthma in Older Adults (Age 40+),,,,,106,"30,378",348.9
2017,Yuba,5,COPD or Asthma in Older Adults (Age 40+),,,,,154,"31,067",495.7
2005,Alameda,7,Hypertension,249,1102068,22.6,25,,,
2006,Alameda,7,Hypertension,253,1106823,22.9,25.2,,,
2007,Alameda,7,Hypertension,294,1117973,26.3,28.9,,,
2008,Alameda,7,Hypertension,275,1136417,24.2,26.5,,,
2009,Alameda,7,Hypertension,279,1155287,24.1,26.3,,,
2010,Alameda,7,Hypertension,315,1169910,26.9,29.2,,,
2011,Alameda,7,Hypertension,296,1186810,24.9,26.8,,,
2012,Alameda,7,Hypertension,278,1173980,23.7,24.7,,,
2013,Alameda,7,Hypertension,251,1197759,21,21.8,,,
2014,Alameda,7,Hypertension,242,1192027,20.3,21.2,,,
2015,Alameda,7,Hypertension,185,923607,20,20.4,,,
2016,Alameda,7,Hypertension,,,,,273,"1,307,762",20.9
2017,Alameda,7,Hypertension,,,,,350,"1,318,527",26.5
2005,Alpine,7,Hypertension,0,979,0,0,,,
2006,Alpine,7,Hypertension,0,1001,0,0,,,
2007,Alpine,7,Hypertension,0,1009,0,0,,,
2008,Alpine,7,Hypertension,0,957,0,0,,,
2009,Alpine,7,Hypertension,0,947,0,0,,,
2010,Alpine,7,Hypertension,0,895,0,0,,,
2011,Alpine,7,Hypertension,1,888,112.6,103.1,,,
2012,Alpine,7,Hypertension,0,2975,0,0,,,
2013,Alpine,7,Hypertension,0,2967,0,0,,,
2014,Alpine,7,Hypertension,0,2018,0,0,,,
2015,Alpine,7,Hypertension,0,3000,0,0,,,
2016,Alpine,7,Hypertension,,,,,0,872,0
2017,Alpine,7,Hypertension,,,,,0,927,0
2005,Amador,7,Hypertension,5,31101,16.1,14.1,,,
2006,Amador,7,Hypertension,4,31460,12.7,11.1,,,
2007,Amador,7,Hypertension,4,31883,12.5,10.8,,,
2008,Amador,7,Hypertension,3,31619,9.5,8.1,,,
2009,Amador,7,Hypertension,2,31769,6.3,5.3,,,
2010,Amador,7,Hypertension,3,31720,9.5,7.9,,,
2011,Amador,7,Hypertension,7,31760,22,18.3,,,
2012,Amador,7,Hypertension,9,32614,27.6,23.6,,,
2013,Amador,7,Hypertension,9,32252,27.9,23.7,,,
2014,Amador,7,Hypertension,10,33224,30.1,25.1,,,
2015,Amador,7,Hypertension,8,24635,32.5,27.6,,,
2016,Amador,7,Hypertension,,,,,2,"31,629",6.3
2017,Amador,7,Hypertension,,,,,6,"32,756",18.3
2005,Butte,7,Hypertension,55,165310,33.3,32.8,,,
2006,Butte,7,Hypertension,45,167351,26.9,26.5,,,
2007,Butte,7,Hypertension,50,168208,29.7,29.2,,,
2008,Butte,7,Hypertension,51,169793,30,29.5,,,
2009,Butte,7,Hypertension,86,170726,50.4,49.3,,,
2010,Butte,7,Hypertension,101,171576,58.9,57.5,,,
2011,Butte,7,Hypertension,76,172643,44,43.4,,,
2012,Butte,7,Hypertension,81,169573,47.8,45.8,,,
2013,Butte,7,Hypertension,100,170817,58.5,56.2,,,
2014,Butte,7,Hypertension,131,175975,74.4,72.2,,,
2015,Butte,7,Hypertension,127,128928,98.5,93.8,,,
2016,Butte,7,Hypertension,,,,,173,"181,019",95.6
2017,Butte,7,Hypertension,,,,,210,"183,424",114.5
2005,Calaveras,7,Hypertension,7,35913,19.5,16.8,,,
2006,Calaveras,7,Hypertension,8,36599,21.9,18.8,,,
2007,Calaveras,7,Hypertension,9,36944,24.4,20.8,,,
2008,Calaveras,7,Hypertension,10,37092,27,22.9,,,
2009,Calaveras,7,Hypertension,5,36875,13.6,11.4,,,
2010,Calaveras,7,Hypertension,8,36801,21.7,18.1,,,
2011,Calaveras,7,Hypertension,12,36652,32.7,27.1,,,
2012,Calaveras,7,Hypertension,10,37597,26.6,22.3,,,
2013,Calaveras,7,Hypertension,9,37646,23.9,19.9,,,
2014,Calaveras,7,Hypertension,6,38886,15.4,12.8,,,
2015,Calaveras,7,Hypertension,4,28698,13.9,11.5,,,
2016,Calaveras,7,Hypertension,,,,,7,"37,554",18.6
2017,Calaveras,7,Hypertension,,,,,17,"37,884",44.9
2005,Colusa,7,Hypertension,3,14456,20.8,21.8,,,
2006,Colusa,7,Hypertension,3,14677,20.4,21.7,,,
2007,Colusa,7,Hypertension,2,14837,13.5,14.2,,,
2008,Colusa,7,Hypertension,6,14891,40.3,42.2,,,
2009,Colusa,7,Hypertension,6,14960,40.1,42.2,,,
2010,Colusa,7,Hypertension,2,15117,13.2,13.9,,,
2011,Colusa,7,Hypertension,4,15206,26.3,27.4,,,
2012,Colusa,7,Hypertension,4,16676,24,27.3,,,
2013,Colusa,7,Hypertension,1,16775,6,6.7,,,
2014,Colusa,7,Hypertension,0,16640,0,0,,,
2015,Colusa,7,Hypertension,2,13258,15.1,17.5,,,
2016,Colusa,7,Hypertension,,,,,3,"15,694",19.1
2017,Colusa,7,Hypertension,,,,,4,"15,810",25.3
2005,Contra Costa,7,Hypertension,117,744835,15.7,16.1,,,
2006,Contra Costa,7,Hypertension,109,747747,14.6,14.9,,,
2007,Contra Costa,7,Hypertension,163,755752,21.6,21.9,,,
2008,Contra Costa,7,Hypertension,201,767612,26.2,26.5,,,
2009,Contra Costa,7,Hypertension,196,780970,25.1,25.2,,,
2010,Contra Costa,7,Hypertension,241,793960,30.4,30.4,,,
2011,Contra Costa,7,Hypertension,203,808054,25.1,25,,,
2012,Contra Costa,7,Hypertension,255,793369,32.1,30.9,,,
2013,Contra Costa,7,Hypertension,227,808882,28.1,26.9,,,
2014,Contra Costa,7,Hypertension,205,818959,25,24.2,,,
2015,Contra Costa,7,Hypertension,149,620275,24,22.5,,,
2016,Contra Costa,7,Hypertension,,,,,256,"876,390",29.2
2017,Contra Costa,7,Hypertension,,,,,315,"885,423",35.6
2005,Del Norte,7,Hypertension,6,22067,27.2,28.1,,,
2006,Del Norte,7,Hypertension,4,22055,18.1,18.7,,,
2007,Del Norte,7,Hypertension,4,22315,17.9,18.4,,,
2008,Del Norte,7,Hypertension,2,22398,8.9,9.1,,,
2009,Del Norte,7,Hypertension,6,22525,26.6,27.1,,,
2010,Del Norte,7,Hypertension,8,22507,35.5,36,,,
2011,Del Norte,7,Hypertension,9,22606,39.8,40.1,,,
2012,Del Norte,7,Hypertension,3,23687,12.7,13.5,,,
2013,Del Norte,7,Hypertension,12,23420,51.2,54,,,
2014,Del Norte,7,Hypertension,4,23656,16.9,17.3,,,
2015,Del Norte,7,Hypertension,1,17650,5.7,6,,,
2016,Del Norte,7,Hypertension,,,,,4,"21,672",18.5
2017,Del Norte,7,Hypertension,,,,,9,"21,558",41.7
2005,El Dorado,7,Hypertension,20,132739,15.1,14.7,,,
2006,El Dorado,7,Hypertension,28,134458,20.8,20.2,,,
2007,El Dorado,7,Hypertension,34,135852,25,24,,,
2008,El Dorado,7,Hypertension,29,137534,21.1,20,,,
2009,El Dorado,7,Hypertension,39,139337,28,26.4,,,
2010,El Dorado,7,Hypertension,28,140597,19.9,18.6,,,
2011,El Dorado,7,Hypertension,29,141461,20.5,18.9,,,
2012,El Dorado,7,Hypertension,24,139213,17.2,15.5,,,
2013,El Dorado,7,Hypertension,36,140808,25.6,22.7,,,
2014,El Dorado,7,Hypertension,24,146643,16.4,14.7,,,
2015,El Dorado,7,Hypertension,18,106572,16.9,14.6,,,
2016,El Dorado,7,Hypertension,,,,,25,"148,505",16.8
2017,El Dorado,7,Hypertension,,,,,26,"151,118",17.2
2005,Fresno,7,Hypertension,124,605300,20.5,23.6,,,
2006,Fresno,7,Hypertension,125,614966,20.3,23.4,,,
2007,Fresno,7,Hypertension,165,624332,26.4,30.3,,,
2008,Fresno,7,Hypertension,196,634600,30.9,35.4,,,
2009,Fresno,7,Hypertension,197,644386,30.6,34.9,,,
2010,Fresno,7,Hypertension,212,654204,32.4,36.8,,,
2011,Fresno,7,Hypertension,203,664750,30.5,34.6,,,
2012,Fresno,7,Hypertension,251,642666,39.1,42.4,,,
2013,Fresno,7,Hypertension,259,650435,39.8,43.1,,,
2014,Fresno,7,Hypertension,225,679486,33.1,36.6,,,
2015,Fresno,7,Hypertension,186,491442,37.8,39.8,,,
2016,Fresno,7,Hypertension,,,,,223,"699,317",31.9
2017,Fresno,7,Hypertension,,,,,377,"707,571",53.3
2005,Glenn,7,Hypertension,6,19553,30.7,31.2,,,
2006,Glenn,7,Hypertension,2,19729,10.1,10.3,,,
2007,Glenn,7,Hypertension,5,19842,25.2,25.5,,,
2008,Glenn,7,Hypertension,6,20067,29.9,30.2,,,
2009,Glenn,7,Hypertension,3,20155,14.9,15,,,
2010,Glenn,7,Hypertension,9,20313,44.3,44.4,,,
2011,Glenn,7,Hypertension,9,20400,44.1,44.1,,,
2012,Glenn,7,Hypertension,7,21643,32.3,33.7,,,
2013,Glenn,7,Hypertension,9,21703,41.5,42.8,,,
2014,Glenn,7,Hypertension,11,21574,51,51.9,,,
2015,Glenn,7,Hypertension,6,16846,35.6,37.3,,,
2016,Glenn,7,Hypertension,,,,,10,"20,546",48.7
2017,Glenn,7,Hypertension,,,,,9,"20,671",43.5
2005,Humboldt,7,Hypertension,7,102809,6.8,7.2,,,
2006,Humboldt,7,Hypertension,9,103611,8.7,9.1,,,
2007,Humboldt,7,Hypertension,16,103821,15.4,16.1,,,
2008,Humboldt,7,Hypertension,17,104570,16.3,16.9,,,
2009,Humboldt,7,Hypertension,22,105478,20.9,21.7,,,
2010,Humboldt,7,Hypertension,18,106717,16.9,17.5,,,
2011,Humboldt,7,Hypertension,14,107013,13.1,13.6,,,
2012,Humboldt,7,Hypertension,16,105607,15.2,15.4,,,
2013,Humboldt,7,Hypertension,23,105726,21.8,22,,,
2014,Humboldt,7,Hypertension,29,108619,26.7,27.2,,,
2015,Humboldt,7,Hypertension,14,79121,17.7,17.7,,,
2016,Humboldt,7,Hypertension,,,,,30,"109,930",27.3
2017,Humboldt,7,Hypertension,,,,,30,"110,444",27.2
2005,Imperial,7,Hypertension,32,109478,29.2,34.2,,,
2006,Imperial,7,Hypertension,25,112879,22.1,25.8,,,
2007,Imperial,7,Hypertension,36,115944,31,35.9,,,
2008,Imperial,7,Hypertension,30,118550,25.3,28.9,,,
2009,Imperial,7,Hypertension,64,121552,52.7,59.8,,,
2010,Imperial,7,Hypertension,61,124055,49.2,55.5,,,
2011,Imperial,7,Hypertension,61,125985,48.4,54.5,,,
2012,Imperial,7,Hypertension,63,122385,51.5,55.7,,,
2013,Imperial,7,Hypertension,70,122276,57.2,61.2,,,
2014,Imperial,7,Hypertension,44,130127,33.8,36.9,,,
2015,Imperial,7,Hypertension,22,92754,23.7,24.5,,,
2016,Imperial,7,Hypertension,,,,,31,"128,931",24
2017,Imperial,7,Hypertension,,,,,37,"130,534",28.3
2005,Inyo,7,Hypertension,3,14549,20.6,17.1,,,
2006,Inyo,7,Hypertension,3,14456,20.8,17.4,,,
2007,Inyo,7,Hypertension,2,14505,13.8,11.6,,,
2008,Inyo,7,Hypertension,3,14485,20.7,17.4,,,
2009,Inyo,7,Hypertension,3,14651,20.5,17.3,,,
2010,Inyo,7,Hypertension,1,14670,6.8,5.8,,,
2011,Inyo,7,Hypertension,2,14640,13.7,11.5,,,
2012,Inyo,7,Hypertension,2,16277,12.3,11.5,,,
2013,Inyo,7,Hypertension,1,16250,6.2,5.7,,,
2014,Inyo,7,Hypertension,1,15730,6.4,5.7,,,
2015,Inyo,7,Hypertension,3,12814,23.4,22.5,,,
2016,Inyo,7,Hypertension,,,,,1,"14,322",7
2017,Inyo,7,Hypertension,,,,,5,"14,335",34.9
2005,Kern,7,Hypertension,134,526395,25.5,30.5,,,
2006,Kern,7,Hypertension,143,544084,26.3,31.6,,,
2007,Kern,7,Hypertension,211,557795,37.8,45.4,,,
2008,Kern,7,Hypertension,240,568635,42.2,50.6,,,
2009,Kern,7,Hypertension,260,578043,45,53.8,,,
2010,Kern,7,Hypertension,245,587730,41.7,49.7,,,
2011,Kern,7,Hypertension,247,597565,41.3,49.2,,,
2012,Kern,7,Hypertension,261,576340,45.3,51.5,,,
2013,Kern,7,Hypertension,163,583929,27.9,31.7,,,
2014,Kern,7,Hypertension,195,622019,31.3,36.6,,,
2015,Kern,7,Hypertension,149,441243,33.8,37.3,,,
2016,Kern,7,Hypertension,,,,,225,"627,175",35.9
2017,Kern,7,Hypertension,,,,,314,"633,999",49.5
2005,Kings,7,Hypertension,40,104744,38.2,50.4,,,
2006,Kings,7,Hypertension,28,106917,26.2,34.4,,,
2007,Kings,7,Hypertension,35,108972,32.1,41.9,,,
2008,Kings,7,Hypertension,24,110111,21.8,28,,,
2009,Kings,7,Hypertension,33,109913,30,38.3,,,
2010,Kings,7,Hypertension,23,110532,20.8,26.4,,,
2011,Kings,7,Hypertension,21,111322,18.9,23.8,,,
2012,Kings,7,Hypertension,23,107485,21.4,26.2,,,
2013,Kings,7,Hypertension,27,107035,25.2,30.6,,,
2014,Kings,7,Hypertension,25,114326,21.9,26.9,,,
2015,Kings,7,Hypertension,13,78983,16.5,19.5,,,
2016,Kings,7,Hypertension,,,,,18,"108,996",16.5
2017,Kings,7,Hypertension,,,,,22,"109,137",20.2
2005,Lake,7,Hypertension,12,49529,24.2,21.6,,,
2006,Lake,7,Hypertension,5,49985,10,9,,,
2007,Lake,7,Hypertension,6,50130,12,10.7,,,
2008,Lake,7,Hypertension,11,50505,21.8,19.5,,,
2009,Lake,7,Hypertension,18,50721,35.5,31.6,,,
2010,Lake,7,Hypertension,17,51151,33.2,29.6,,,
2011,Lake,7,Hypertension,23,51085,45,39.8,,,
2012,Lake,7,Hypertension,16,51501,31.1,27.7,,,
2013,Lake,7,Hypertension,25,51581,48.5,42.9,,,
2014,Lake,7,Hypertension,10,52953,18.9,16.9,,,
2015,Lake,7,Hypertension,9,39003,23.1,20.3,,,
2016,Lake,7,Hypertension,,,,,15,"50,727",29.6
2017,Lake,7,Hypertension,,,,,14,"50,920",27.5
2005,Lassen,7,Hypertension,1,27722,3.6,4.3,,,
2006,Lassen,7,Hypertension,4,27919,14.3,17.1,,,
2007,Lassen,7,Hypertension,5,29030,17.2,20.7,,,
2008,Lassen,7,Hypertension,2,28658,7,8.3,,,
2009,Lassen,7,Hypertension,4,28696,13.9,16.4,,,
2010,Lassen,7,Hypertension,2,28485,7,8.2,,,
2011,Lassen,7,Hypertension,1,28179,3.5,4.1,,,
2012,Lassen,7,Hypertension,3,29146,10.3,12.5,,,
2013,Lassen,7,Hypertension,6,27797,21.6,25.5,,,
2014,Lassen,7,Hypertension,6,29236,20.5,24,,,
2015,Lassen,7,Hypertension,4,20747,19.3,22.8,,,
2016,Lassen,7,Hypertension,,,,,2,"25,606",7.8
2017,Lassen,7,Hypertension,,,,,3,"25,814",11.6
2005,Los Angeles,7,Hypertension,2776,7202516,38.5,44.2,,,
2006,Los Angeles,7,Hypertension,2796,7208716,38.8,44.2,,,
2007,Los Angeles,7,Hypertension,3534,7223112,48.9,55.3,,,
2008,Los Angeles,7,Hypertension,3665,7281072,50.3,56.5,,,
2009,Los Angeles,7,Hypertension,3903,7353912,53.1,59.2,,,
2010,Los Angeles,7,Hypertension,3975,7416633,53.6,59.4,,,
2011,Los Angeles,7,Hypertension,3658,7504083,48.7,53.7,,,
2012,Los Angeles,7,Hypertension,3583,7317992,49,51.7,,,
2013,Los Angeles,7,Hypertension,3356,7410685,45.3,47.6,,,
2014,Los Angeles,7,Hypertension,3288,7525122,43.7,46.4,,,
2015,Los Angeles,7,Hypertension,2584,5622301,46,46.9,,,
2016,Los Angeles,7,Hypertension,,,,,"3,298","7,900,077",41.7
2017,Los Angeles,7,Hypertension,,,,,"3,915","7,938,602",49.3
2005,Madera,7,Hypertension,25,100047,25,27.8,,,
2006,Madera,7,Hypertension,13,102344,12.7,14.1,,,
2007,Madera,7,Hypertension,24,104227,23,25.5,,,
2008,Madera,7,Hypertension,19,105909,17.9,19.9,,,
2009,Madera,7,Hypertension,33,106674,30.9,34.1,,,
2010,Madera,7,Hypertension,27,108385,24.9,27.4,,,
2011,Madera,7,Hypertension,14,109902,12.7,14,,,
2012,Madera,7,Hypertension,28,106934,26.2,27.8,,,
2013,Madera,7,Hypertension,40,107252,37.3,39.3,,,
2014,Madera,7,Hypertension,39,113845,34.3,36.8,,,
2015,Madera,7,Hypertension,20,81407,24.6,25.4,,,
2016,Madera,7,Hypertension,,,,,25,"112,276",22.3
2017,Madera,7,Hypertension,,,,,38,"113,877",33.4
2005,Marin,7,Hypertension,24,194828,12.3,11.1,,,
2006,Marin,7,Hypertension,27,194956,13.8,12.4,,,
2007,Marin,7,Hypertension,25,196294,12.7,11.3,,,
2008,Marin,7,Hypertension,22,197929,11.1,9.8,,,
2009,Marin,7,Hypertension,18,199904,9,7.9,,,
2010,Marin,7,Hypertension,17,201547,8.4,7.4,,,
2011,Marin,7,Hypertension,18,203181,8.9,7.7,,,
2012,Marin,7,Hypertension,34,200046,17,14.3,,,
2013,Marin,7,Hypertension,25,202161,12.4,10.3,,,
2014,Marin,7,Hypertension,21,201613,10.4,8.7,,,
2015,Marin,7,Hypertension,11,152906,7.2,5.9,,,
2016,Marin,7,Hypertension,,,,,22,"208,411",10.6
2017,Marin,7,Hypertension,,,,,32,"208,468",15.4
2005,Mariposa,7,Hypertension,2,14466,13.8,12,,,
2006,Mariposa,7,Hypertension,3,14728,20.4,17.8,,,
2007,Mariposa,7,Hypertension,5,14903,33.6,29.1,,,
2008,Mariposa,7,Hypertension,4,14996,26.7,22.8,,,
2009,Mariposa,7,Hypertension,0,14925,0,0,,,
2010,Mariposa,7,Hypertension,1,15017,6.7,5.6,,,
2011,Mariposa,7,Hypertension,1,15033,6.7,5.6,,,
2012,Mariposa,7,Hypertension,6,16563,36.2,33.1,,,
2013,Mariposa,7,Hypertension,4,16491,24.3,22,,,
2014,Mariposa,7,Hypertension,1,16334,6.1,5.3,,,
2015,Mariposa,7,Hypertension,3,12911,23.2,21.7,,,
2016,Mariposa,7,Hypertension,,,,,4,"14,650",27.3
2017,Mariposa,7,Hypertension,,,,,1,"14,692",6.8
2005,Mendocino,7,Hypertension,4,67693,5.9,5.6,,,
2006,Mendocino,7,Hypertension,4,67469,5.9,5.6,,,
2007,Mendocino,7,Hypertension,20,67582,29.6,27.8,,,
2008,Mendocino,7,Hypertension,9,68025,13.2,12.4,,,
2009,Mendocino,7,Hypertension,12,68421,17.5,16.4,,,
2010,Mendocino,7,Hypertension,11,68517,16.1,15,,,
2011,Mendocino,7,Hypertension,14,68336,20.5,18.9,,,
2012,Mendocino,7,Hypertension,9,68344,13.2,12,,,
2013,Mendocino,7,Hypertension,9,68379,13.2,11.9,,,
2014,Mendocino,7,Hypertension,13,69334,18.7,17,,,
2015,Mendocino,7,Hypertension,8,51516,15.5,13.8,,,
2016,Mendocino,7,Hypertension,,,,,9,"68,571",13.1
2017,Mendocino,7,Hypertension,,,,,16,"68,970",23.2
2005,Merced,7,Hypertension,31,162795,19,22.9,,,
2006,Merced,7,Hypertension,23,165009,13.9,16.7,,,
2007,Merced,7,Hypertension,38,167724,22.7,27.1,,,
2008,Merced,7,Hypertension,46,169736,27.1,32.1,,,
2009,Merced,7,Hypertension,44,171809,25.6,30.2,,,
2010,Merced,7,Hypertension,59,175232,33.7,39.5,,,
2011,Merced,7,Hypertension,55,178783,30.8,35.9,,,
2012,Merced,7,Hypertension,44,174274,25.2,28.3,,,
2013,Merced,7,Hypertension,55,176084,31.2,34.8,,,
2014,Merced,7,Hypertension,72,184892,38.9,44.5,,,
2015,Merced,7,Hypertension,62,133727,46.4,50.1,,,
2016,Merced,7,Hypertension,,,,,103,"188,808",54.6
2017,Merced,7,Hypertension,,,,,141,"192,033",73.4
2005,Modoc,7,Hypertension,0,7407,0,0,,,
2006,Modoc,7,Hypertension,1,7461,13.4,11.7,,,
2007,Modoc,7,Hypertension,3,7429,40.4,34.7,,,
2008,Modoc,7,Hypertension,0,7469,0,0,,,
2009,Modoc,7,Hypertension,0,7565,0,0,,,
2010,Modoc,7,Hypertension,0,7599,0,0,,,
2011,Modoc,7,Hypertension,6,7517,79.8,67.5,,,
2012,Modoc,7,Hypertension,3,9249,32.4,33.9,,,
2013,Modoc,7,Hypertension,2,9142,21.9,22.8,,,
2014,Modoc,7,Hypertension,0,8570,0,0,,,
2015,Modoc,7,Hypertension,1,7417,13.5,15.2,,,
2016,Modoc,7,Hypertension,,,,,3,"7,228",41.5
2017,Modoc,7,Hypertension,,,,,3,"7,187",41.7
2005,Mono,7,Hypertension,1,10514,9.5,11.9,,,
2006,Mono,7,Hypertension,0,10747,0,0,,,
2007,Mono,7,Hypertension,0,10719,0,0,,,
2008,Mono,7,Hypertension,0,10892,0,0,,,
2009,Mono,7,Hypertension,1,11055,9,10.8,,,
2010,Mono,7,Hypertension,0,11224,0,0,,,
2011,Mono,7,Hypertension,0,11294,0,0,,,
2012,Mono,7,Hypertension,1,13186,7.6,10,,,
2013,Mono,7,Hypertension,0,12990,0,0,,,
2014,Mono,7,Hypertension,0,12503,0,0,,,
2015,Mono,7,Hypertension,1,10444,9.6,12.6,,,
2016,Mono,7,Hypertension,,,,,0,"11,456",0
2017,Mono,7,Hypertension,,,,,0,"11,537",0
2005,Monterey,7,Hypertension,71,294634,24.1,27.4,,,
2006,Monterey,7,Hypertension,55,292832,18.8,21.2,,,
2007,Monterey,7,Hypertension,63,293684,21.5,24.1,,,
2008,Monterey,7,Hypertension,68,296155,23,25.6,,,
2009,Monterey,7,Hypertension,58,299502,19.4,21.5,,,
2010,Monterey,7,Hypertension,72,304351,23.7,26.2,,,
2011,Monterey,7,Hypertension,87,308056,28.2,31.2,,,
2012,Monterey,7,Hypertension,79,301958,26.2,27.9,,,
2013,Monterey,7,Hypertension,71,304287,23.3,24.7,,,
2014,Monterey,7,Hypertension,65,305907,21.2,22.6,,,
2015,Monterey,7,Hypertension,61,229305,26.6,27.3,,,
2016,Monterey,7,Hypertension,,,,,76,"321,726",23.6
2017,Monterey,7,Hypertension,,,,,93,"323,046",28.8
2005,Napa,7,Hypertension,14,99628,14.1,13.2,,,
2006,Napa,7,Hypertension,16,100569,15.9,15,,,
2007,Napa,7,Hypertension,28,101701,27.5,25.9,,,
2008,Napa,7,Hypertension,24,102958,23.3,21.9,,,
2009,Napa,7,Hypertension,13,103909,12.5,11.8,,,
2010,Napa,7,Hypertension,30,105302,28.5,26.9,,,
2011,Napa,7,Hypertension,24,106488,22.5,21.2,,,
2012,Napa,7,Hypertension,22,106095,20.7,19.2,,,
2013,Napa,7,Hypertension,19,107433,17.7,16.3,,,
2014,Napa,7,Hypertension,15,108610,13.8,12.9,,,
2015,Napa,7,Hypertension,9,82361,10.9,10,,,
2016,Napa,7,Hypertension,,,,,15,"111,505",13.5
2017,Napa,7,Hypertension,,,,,27,"111,326",24.3
2005,Nevada,7,Hypertension,11,77111,14.3,12.3,,,
2006,Nevada,7,Hypertension,22,77728,28.3,24.2,,,
2007,Nevada,7,Hypertension,31,78179,39.7,33.7,,,
2008,Nevada,7,Hypertension,21,78803,26.6,22.5,,,
2009,Nevada,7,Hypertension,24,79505,30.2,25.5,,,
2010,Nevada,7,Hypertension,12,80097,15,12.6,,,
2011,Nevada,7,Hypertension,19,80389,23.6,19.7,,,
2012,Nevada,7,Hypertension,9,80329,11.2,9.2,,,
2013,Nevada,7,Hypertension,6,80699,7.4,6.1,,,
2014,Nevada,7,Hypertension,12,82513,14.5,11.9,,,
2015,Nevada,7,Hypertension,9,61125,14.7,11.9,,,
2016,Nevada,7,Hypertension,,,,,12,"81,712",14.7
2017,Nevada,7,Hypertension,,,,,21,"82,510",25.5
2005,Orange,7,Hypertension,517,2180617,23.7,26.2,,,
2006,Orange,7,Hypertension,547,2185121,25,27.5,,,
2007,Orange,7,Hypertension,667,2194736,30.4,33,,,
2008,Orange,7,Hypertension,657,2219901,29.6,32,,,
2009,Orange,7,Hypertension,619,2249030,27.5,29.5,,,
2010,Orange,7,Hypertension,644,2279215,28.3,30.1,,,
2011,Orange,7,Hypertension,641,2319605,27.6,29.3,,,
2012,Orange,7,Hypertension,567,2270432,25,25.4,,,
2013,Orange,7,Hypertension,511,2303808,22.2,22.4,,,
2014,Orange,7,Hypertension,523,2330275,22.4,22.8,,,
2015,Orange,7,Hypertension,411,1754644,23.4,22.9,,,
2016,Orange,7,Hypertension,,,,,541,"2,465,223",21.9
2017,Orange,7,Hypertension,,,,,779,"2,484,401",31.4
2005,Placer,7,Hypertension,28,233967,12,11.6,,,
2006,Placer,7,Hypertension,33,241760,13.6,13.1,,,
2007,Placer,7,Hypertension,31,247749,12.5,11.9,,,
2008,Placer,7,Hypertension,39,254728,15.3,14.5,,,
2009,Placer,7,Hypertension,31,260230,11.9,11.2,,,
2010,Placer,7,Hypertension,42,265780,15.8,14.7,,,
2011,Placer,7,Hypertension,34,272624,12.5,11.5,,,
2012,Placer,7,Hypertension,46,269220,17.1,15.3,,,
2013,Placer,7,Hypertension,55,275142,20,17.7,,,
2014,Placer,7,Hypertension,46,291385,15.8,14.2,,,
2015,Placer,7,Hypertension,25,211518,11.8,10.2,,,
2016,Placer,7,Hypertension,,,,,57,"294,337",19.4
2017,Placer,7,Hypertension,,,,,62,"299,933",20.7
2005,Plumas,7,Hypertension,4,16762,23.9,20.8,,,
2006,Plumas,7,Hypertension,7,16591,42.2,36.6,,,
2007,Plumas,7,Hypertension,8,16601,48.2,41.4,,,
2008,Plumas,7,Hypertension,4,16521,24.2,20.6,,,
2009,Plumas,7,Hypertension,6,16384,36.6,30.9,,,
2010,Plumas,7,Hypertension,8,16311,49,41.2,,,
2011,Plumas,7,Hypertension,2,16239,12.3,10.3,,,
2012,Plumas,7,Hypertension,5,17560,28.5,25.9,,,
2013,Plumas,7,Hypertension,0,17229,0,0,,,
2014,Plumas,7,Hypertension,3,16981,17.7,15.3,,,
2015,Plumas,7,Hypertension,4,13235,30.2,28.1,,,
2016,Plumas,7,Hypertension,,,,,2,"15,622",12.8
2017,Plumas,7,Hypertension,,,,,5,"15,589",32.1
2005,Riverside,7,Hypertension,412,1365225,30.2,32.6,,,
2006,Riverside,7,Hypertension,439,1423074,30.8,33.5,,,
2007,Riverside,7,Hypertension,512,1468741,34.9,37.8,,,
2008,Riverside,7,Hypertension,510,1497677,34.1,36.7,,,
2009,Riverside,7,Hypertension,585,1532584,38.2,40.9,,,
2010,Riverside,7,Hypertension,552,1579716,34.9,37.4,,,
2011,Riverside,7,Hypertension,632,1618245,39.1,41.7,,,
2012,Riverside,7,Hypertension,643,1578971,40.7,41.5,,,
